# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "10" "-F" "GFF" "-t" "gene" "-g" "gene_id" "-p" "-s" "2" "-a" "/mnt/d/GIS/yeast_metabolomics_2017/ref/downloads/sacCer3.gff3" "-o" "/mnt/d/GIS/yeast_metabolomics_2017/counts/strandedness_test/gene_counts_s2.txt" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE1.sorted.bam" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE2.sorted.bam" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE3.sorted.bam" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT1.sorted.bam" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT2.sorted.bam" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE1.sorted.bam	/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE2.sorted.bam	/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE3.sorted.bam	/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT1.sorted.bam	/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT2.sorted.bam	/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT3.sorted.bam
YAL051W	I	48564	51707	+	3144	6854	4723	4645	3719	3109	4466
YAL049C	I	51855	52595	-	741	4285	5515	3909	2686	3027	3014
YAL048C	I	52801	54789	-	1989	3256	2452	2276	2522	2224	2513
YAL047W-A	I	54584	54913	+	330	3	8	0	0	12	10
YAL047C	I	54989	56857	-	1869	1960	1101	622	1005	951	1258
YAL046C	I	57029	57385	-	357	311	303	222	409	539	345
YAL045C	I	57488	57796	-	309	1	4	3	10	10	10
YAL044W-A	I	57518	57850	+	333	1155	1716	782	909	1233	934
YAL044C	I	57950	58462	-	513	3123	3175	1594	5335	7654	4851
YAL043C	I	58695	61052	-	2358	5191	3186	3809	6123	5320	6456
YAL042C-A	I	61231	61608	-	378	43	55	80	30	25	58
YAL042W	I	61316	62563	+	1248	3071	3072	3151	4695	4688	5140
YAL041W	I	62840	65404	+	2565	5519	3528	3221	3387	3301	4080
YAL040C	I	65778	67520	-	1743	6927	4592	6836	12003	8818	13283
YAL039C	I	68716	69525	-	810	2021	1890	1394	3426	3586	3337
YAL038W	I	71786	73288	+	1503	146674	161855	187819	125173	134067	163029
YAL037C-B	I	72326	73300	-	975	8	8	2	11	0	13
YAL037C-A	I	73426	73518	-	93	5	8	1	4	7	1
YAL037W	I	74020	74823	+	804	330	283	123	156	115	148
YAL036C	I	75043	76152	-	1110	1401	738	916	3310	2652	3210
YAL035W	I	76427	79435	+	3009	20366	7142	7065	19691	17904	21930
YAL034C-B	I	79489	79842	-	354	6	4	6	2	2	2
YAL034W-A	I	79718	80587	+	870	751	464	205	305	277	345
YAL034C	I	80710	81951	-	1242	7592	9219	8507	3139	3217	3835
YAL033W	I	82706	83227	+	522	412	407	151	846	1047	681
YAL032C	I	83335	84474	-	1140	2901	1742	1470	1768	1522	1962
YAL031W-A	I	84669	84977	+	309	2	3	3	7	4	8
YAL031C	I	84749	87031	-	2283	4642	3931	3207	2092	1916	2627
YAL030W	I	87286	87752	+	467	1294	2571	1525	1119	1268	1055
YAL029C	I	87855	92270	-	4416	8269	3673	4983	6920	5690	8259
YAL028W	I	92900	94486	+	1587	1278	1446	1252	766	655	665
YAL027W	I	94687	95472	+	786	1041	1076	425	600	534	642
YAL026C-A	I	95386	95823	-	438	255	127	24	89	85	136
YAL026C	I	95630	99697	-	4068	11270	6422	5382	5736	4466	6187
YAL025C	I	100225	101145	-	921	1016	222	276	1495	1050	1264
YAL024C	I	101565	105872	-	4308	7373	3602	3212	3357	3103	3774
YAL023C	I	106272	108551	-	2280	7924	7205	6784	10612	10584	11646
YAL022C	I	108877	110430	-	1554	1524	1496	1585	2339	2452	2520
YAL021C	I	110846	113359	-	2514	10698	6716	8056	9482	8251	11069
YAL020C	I	113614	114615	-	1002	321	286	444	510	457	425
YAL019W-A	I	114250	114819	+	570	67	35	30	30	51	61
YAL019W	I	114919	118314	+	3396	10690	4724	3813	7554	7850	9028
YAL018C	I	118564	119541	-	978	15156	19540	10344	6239	4809	3105
YAL017W	I	120225	124295	+	4071	17251	14195	13761	7851	7306	9344
YAL016C-B	I	124307	124492	-	186	3	0	3	2	0	1
YAL016C-A	I	124755	125069	-	315	19	36	18	14	8	14
YAL016W	I	124879	126786	+	1908	13348	10619	9896	8974	8414	10814
YAL015C	I	126903	128102	-	1200	1239	743	535	1285	1002	1346
YAL014C	I	128252	129019	-	768	981	1220	961	1621	1571	1541
YAL013W	I	129270	130487	+	1218	1173	850	801	1340	1075	1192
YAL012W	I	130799	131983	+	1185	23418	13008	16877	38538	43722	45049
YAL011W	I	132199	134076	+	1878	1562	851	491	1029	799	1261
YAL010C	I	134184	135665	-	1482	1613	1340	796	756	701	1112
YAL009W	I	135854	136633	+	780	950	871	479	932	905	999
YAL008W	I	136914	137510	+	597	1357	1330	737	649	603	759
YAL007C	I	137698	138345	-	648	1963	1770	928	1414	1703	1943
YAL005C	I	139503	141431	-	1929	36240	37492	47977	15526	18155	19829
YAL004W	I	140760	141407	+	648	0	4	0	0	1	2
YAL003W	I	142174	143160	+	987	24250	14079	10554	32721	45005	35704
YAL002W	I	143707	147531	+	3825	4148	3239	4036	3662	3280	3976
YAL001C	I	147594	151166	-	3573	8415	5610	4809	3760	3178	3837
YAR002W	I	152257	153876	+	1620	4617	2206	1574	3691	3367	4426
YAR002C-A	I	154065	154724	-	660	2593	4133	3103	3921	4135	3199
YAR003W	I	155005	156285	+	1281	2668	2155	1482	1560	1343	1573
YAR007C	I	156754	158619	-	1866	8570	6602	4431	3799	3601	4819
YAR008W	I	158966	159793	+	828	544	416	319	328	286	292
YAR014C	I	166742	168871	-	2130	6382	3016	2871	6607	5641	6771
YAR015W	I	169375	170295	+	921	6009	2526	3159	13323	13559	13587
YAR018C	I	170396	171703	-	1308	840	643	520	908	879	1163
YAR019C	I	172211	175135	-	2925	3724	3282	2870	2574	2185	2624
YAR019W-A	I	174998	175330	+	333	50	39	14	39	33	35
YAR020C	I	176856	177023	-	168	169	134	88	124	91	150
YAR023C	I	179281	179820	-	540	668	617	624	454	545	497
YAR027W	I	183770	184477	+	708	727	1262	852	577	628	628
YAR028W	I	184892	185596	+	705	336	407	350	286	362	411
YAR029W	I	186321	186545	+	225	204	186	103	124	117	146
YAR030C	I	186512	186853	-	342	27	40	23	31	13	31
YAR031W	I	186836	187732	+	897	48	61	51	45	66	53
YAR033W	I	188107	188811	+	705	132	118	54	120	111	126
YAR035W	I	190193	192256	+	2064	5507	6513	7556	16702	16896	12512
YAR035C-A	I	192337	192417	-	81	0	1	1	0	1	0
YAR042W	I	192619	196185	+	3567	14312	9026	9642	8891	7648	9616
YAR047C	I	201467	201787	-	321	0	2	3	0	1	1
YAR050W	I	203403	208016	+	4614	156	104	132	187	149	231
YAR053W	I	208367	208663	+	297	0	2	0	1	1	0
YAR060C	I	217157	217492	-	336	0	0	0	0	0	1
YAR064W	I	220198	220497	+	300	11	12	6	12	8	10
YAR066W	I	221049	221660	+	612	71	80	99	160	186	232
YAR068W	I	222406	222891	+	486	1165	1082	1274	1496	1516	1758
YAR069C	I	224011	224304	-	294	0	0	0	2	0	0
YAR070C	I	224563	224862	-	300	0	0	2	2	0	0
YAR071W	I	225460	226863	+	1404	677	645	502	1139	1221	1126
YAR073W	I	227742	228953	+	1212	97	94	86	130	159	174
YAR075W	I	228844	229317	+	474	10	12	10	20	18	21
YBL113C	II	280	2658	-	2379	3418	2714	3597	2945	2073	2774
YBL113W-A	II	646	1128	+	483	39	41	38	44	40	50
YBL112C	II	2582	2899	-	318	3	1	2	4	1	1
YBL111C	II	2907	5009	-	2103	36	23	50	40	15	54
YBL109W	II	5790	6125	+	336	0	2	0	0	0	1
YBL108C-A	II	7605	7733	-	129	133	132	73	72	79	93
YBL108W	II	8177	8482	+	306	1	2	1	4	0	1
YBL107W-A	II	9268	9372	+	105	39	63	111	45	48	39
YBL107C	II	9961	10551	-	591	1111	598	276	620	590	640
YBL106C	II	10847	13879	-	3033	2494	1506	1968	2098	1719	2312
YBL105C	II	14241	17696	-	3456	9874	5913	8249	7461	5659	7827
YBL104C	II	18177	21293	-	3117	4010	2314	2351	2491	2428	3094
YBL103C	II	22076	23536	-	1461	4772	2836	1997	3217	2753	3070
YBL102W	II	24098	24745	+	648	2341	3761	1649	1896	2364	1635
YBL101C	II	24946	28299	-	3354	17521	13331	16560	17509	15225	18055
YBL100W-C	II	28427	28546	+	120	11	8	9	8	7	9
YBL100C	II	36989	37303	-	315	0	6	1	0	1	2
YBL099W	II	37053	38690	+	1638	30885	22052	20314	29124	36297	39970
YBL098W	II	39145	40527	+	1383	2298	2013	1557	1882	1585	1785
YBL097W	II	40831	43095	+	2265	502	306	411	382	283	354
YBL096C	II	43174	43482	-	309	66	24	29	61	52	58
YBL095W	II	43277	44089	+	813	1965	2323	1724	2389	2137	2057
YBL094C	II	43765	44097	-	333	97	43	59	104	89	109
YBL093C	II	44256	44918	-	663	5136	2763	1703	4485	4656	4877
YBL092W	II	45978	46370	+	393	10691	7468	6190	17105	25476	17315
YBL091C-A	II	46565	47180	-	616	796	740	419	418	478	422
YBL091C	II	47363	48628	-	1266	3369	2231	2031	2904	2626	3098
YBL090W	II	48825	49358	+	534	1517	1224	485	1035	1280	1274
YBL089W	II	49574	50953	+	1380	890	1021	820	1096	1065	1102
YBL088C	II	51019	59382	-	8364	18832	13404	16325	7684	6603	8590
YBL087C	II	59822	60739	-	918	2117	1866	1684	5320	8353	5090
YBL086C	II	61202	62602	-	1401	4114	3763	2698	1550	1625	1776
YBL085W	II	63876	66818	+	2943	6756	4833	3919	2097	2003	2809
YBL084C	II	67169	69445	-	2277	20068	12540	7539	5603	4631	3922
YBL083C	II	69713	70138	-	426	0	0	1	1	2	0
YBL082C	II	69751	71127	-	1377	731	928	956	1853	1601	1620
YBL081W	II	71866	72972	+	1107	1173	257	444	1599	1415	1877
YBL080C	II	73070	74695	-	1626	1248	1109	747	616	523	756
YBL079W	II	75259	79767	+	4509	16199	8172	7930	13568	12028	14741
YBL078C	II	80378	80731	-	354	23612	20016	4980	5406	6302	3992
YBL077W	II	80897	81328	+	432	5	10	0	0	4	7
YBL076C	II	81043	84261	-	3219	31559	11928	12515	42598	39176	46744
YBL075C	II	84499	86448	-	1950	163380	137123	131619	34094	31430	31292
YBL074C	II	86722	87789	-	1068	640	483	636	755	693	786
YBL073W	II	87646	87957	+	312	2	1	2	0	0	0
YBL072C	II	88523	89125	-	603	7357	5366	4664	11646	16803	12046
YBL071C-B	II	89458	89556	-	99	4	4	0	3	2	4
YBL071W-A	II	89978	90226	+	249	805	933	557	1530	1817	1140
YBL071C	II	90223	90531	-	309	2	5	1	4	14	7
YBL070C	II	90605	90925	-	321	6	7	4	5	3	4
YBL069W	II	90741	92030	+	1290	541	400	409	1042	1073	1280
YBL068W-A	II	91794	92030	+	237	0	0	0	0	0	0
YBL068W	II	92414	93394	+	981	1545	944	803	3254	3234	3314
YBL067C	II	93639	95882	-	2244	13157	9710	8517	6084	5250	7437
YBL066C	II	96669	100115	-	3447	4252	3890	5015	3746	3429	4348
YBL065W	II	99963	100307	+	345	12	38	26	28	19	30
YBL064C	II	100371	101156	-	786	19150	27296	16730	8805	12476	11515
YBL063W	II	101886	105221	+	3336	4112	2982	2240	878	780	1024
YBL062W	II	105308	105688	+	381	48	38	20	7	17	10
YBL061C	II	105316	107406	-	2091	3654	1468	1320	3886	3451	4284
YBL060W	II	107932	109995	+	2064	977	667	624	831	703	818
YBL059C-A	II	110125	110539	-	415	1213	1088	395	763	858	899
YBL059W	II	110594	111244	+	651	645	605	277	505	635	535
YBL058W	II	111437	112708	+	1272	6168	4784	3473	3612	3799	4080
YBL057C	II	112801	113427	-	627	1385	1250	749	1332	1442	1256
YBL056W	II	113762	115168	+	1407	12187	8589	7950	9657	8389	9960
YBL055C	II	115573	116829	-	1257	1596	876	849	2207	2107	2231
YBL054W	II	117589	119166	+	1578	2860	986	934	3780	3523	4403
YBL053W	II	119335	119709	+	375	19	22	8	20	27	18
YBL052C	II	119379	121874	-	2496	2436	1300	881	933	823	1200
YBL051C	II	122753	124759	-	2007	6674	4126	3428	3697	3194	4281
YBL050W	II	125125	126119	+	995	5364	4302	2696	3006	2782	3093
YBL049W	II	126828	127244	+	417	3532	5266	5223	2267	2509	2048
YBL048W	II	127299	127610	+	312	1263	1788	1543	769	887	748
YBL047C	II	127895	132040	-	4146	28428	20128	24785	15094	13369	17295
YBL046W	II	132424	133749	+	1326	550	264	243	380	235	324
YBL045C	II	134143	135516	-	1374	22021	18760	14085	16773	18926	19944
YBL044W	II	135998	136366	+	369	4	2	8	2	5	2
YBL043W	II	136688	137461	+	774	4048	3208	1980	3840	5120	4509
YBL042C	II	138341	140260	-	1920	5452	4080	4394	14903	12432	15052
YBL041W	II	141247	141972	+	726	4906	4442	2423	3009	3334	3623
YBL040C	II	142112	142868	-	757	1127	1457	636	1634	1607	1568
YBL039W-B	II	143393	143572	+	180	572	1396	522	404	547	483
YBL039C	II	143989	145728	-	1740	6716	1380	1745	12647	13481	14651
YBL039C-A	II	144948	145031	-	84	0	0	0	0	0	0
YBL038W	II	146187	146885	+	699	3441	2439	929	1815	2209	2399
YBL037W	II	147209	150286	+	3078	4029	2860	3092	2969	2713	3509
YBL036C	II	150447	151220	-	774	1654	967	504	1386	1261	1336
YBL035C	II	151493	153610	-	2118	2211	1944	1585	958	972	1228
YBL034C	II	153848	158389	-	4542	8200	5539	5127	2670	2620	3277
YBL033C	II	158656	159693	-	1038	9627	8133	6122	9169	9584	9393
YBL032W	II	160184	161329	+	1146	2336	1896	1325	2181	1874	2412
YBL031W	II	161699	162715	+	1017	736	465	249	193	189	296
YBL030C	II	163041	163997	-	957	7602	6187	7292	17809	19864	20752
YBL029C-A	II	164488	164772	-	285	2610	4201	1559	2915	3205	2764
YBL029W	II	166134	167264	+	1131	4668	2566	2663	7388	7536	9248
YBL028C	II	167518	167838	-	321	2373	872	249	2230	2913	2851
YBL027W	II	168423	169376	+	954	17873	10318	7525	18255	27984	22226
YBL026W	II	170623	171038	+	416	1695	2440	795	1774	2310	2089
YBL025W	II	171481	171918	+	438	463	386	207	472	414	462
YBL024W	II	172534	174588	+	2055	10425	3744	3344	11582	10685	13445
YBL023C	II	174920	177526	-	2607	4513	2712	2754	3856	3499	4319
YBL022C	II	177874	181275	-	3402	15807	9736	10028	9278	8582	11012
YBL021C	II	181660	182094	-	435	823	693	340	672	678	519
YBL020W	II	182401	184125	+	1725	3052	2744	2105	2869	2497	3337
YBL019W	II	184353	185915	+	1563	1731	1220	867	1071	1066	1310
YBL018C	II	185998	186474	-	477	458	496	196	415	506	500
YBL017C	II	186844	191583	-	4740	14272	8760	11953	11294	9001	11656
YBL016W	II	192451	193512	+	1062	181	188	100	90	95	62
YBL015W	II	194122	195702	+	1581	8083	7294	7857	29098	30027	26724
YBL014C	II	199064	201748	-	2685	2541	1651	1803	2718	2112	2987
YBL013W	II	202056	203261	+	1206	765	710	774	416	361	335
YBL012C	II	203406	203807	-	402	1	1	0	4	9	1
YBL011W	II	203538	205817	+	2280	6080	4683	4687	4506	4457	5320
YBL010C	II	206107	206949	-	843	1252	741	430	670	583	681
YBL009W	II	207194	209224	+	2031	3115	1742	1342	1967	1681	1873
YBL008W-A	II	209409	209648	+	240	10	3	1	3	2	5
YBL008W	II	209653	212175	+	2523	2388	1458	1317	1418	1321	1766
YBL007C	II	212632	216366	-	3735	17955	12854	14998	12072	11395	14139
YBL006C	II	216587	217129	-	543	1669	1801	1051	2184	2400	1822
YBL006W-A	II	216711	216860	+	150	10	10	14	8	13	13
YBL005W	II	217470	220400	+	2931	2637	1658	1858	2113	1700	2586
YBL004W	II	227636	235117	+	7482	30869	9701	12014	39224	34313	41232
YBL003C	II	235394	235792	-	399	3492	3938	1233	2967	4705	4677
YBL002W	II	236492	236887	+	396	9839	11578	5333	8173	9519	10060
YBL001C	II	237153	237467	-	315	1559	3679	1476	1270	1806	1455
YBR001C	II	238941	241283	-	2343	6127	4529	4877	4299	3570	3851
YBR002C	II	241708	242568	-	861	1243	913	582	1244	1305	1492
YBR003W	II	242809	244230	+	1422	1669	1537	1093	1120	1071	1504
YBR004C	II	244366	245667	-	1302	1670	1564	1073	3513	3755	4082
YBR005W	II	245906	246547	+	642	995	1461	1236	1934	2415	1994
YBR006W	II	247010	248503	+	1494	5185	5447	3964	3421	3840	4784
YBR007C	II	248806	251016	-	2211	2007	816	714	1164	1007	1207
YBR008C	II	252563	254209	-	1647	616	760	735	960	843	1030
YBR009C	II	255373	255684	-	312	35462	30631	7716	11259	14280	16387
YBR010W	II	256331	256741	+	411	7088	6637	1880	6837	8571	7187
YBR011C	II	257112	257975	-	864	53530	53225	61197	49020	48080	48691
YBR012C	II	259147	259566	-	420	592	344	147	233	236	269
YBR013C	II	265492	265881	-	390	305	232	132	153	173	212
YBR014C	II	266725	267336	-	612	4998	3815	1421	2071	2284	2265
YBR015C	II	267710	269503	-	1794	9758	7724	7578	9489	9228	11095
YBR016W	II	270247	270633	+	387	1720	1844	1327	2111	1894	2314
YBR017C	II	270947	273703	-	2757	7102	3835	3361	9382	7628	9820
YBR018C	II	274427	275527	-	1101	2580	1792	803	616	464	272
YBR019C	II	276253	278352	-	2100	119	172	105	75	65	68
YBR020W	II	279021	280607	+	1587	389	406	422	290	296	289
YBR021W	II	281443	283344	+	1902	1317	768	860	3313	2751	3646
YBR022W	II	283738	284271	+	534	400	308	173	412	526	412
YBR023C	II	284428	287925	-	3498	9749	5073	5237	8551	7465	9622
YBR024W	II	289445	290350	+	906	1453	1192	777	731	673	888
YBR025C	II	290681	291865	-	1185	22311	14377	13015	15764	16920	17955
YBR026C	II	292877	294019	-	1143	31105	32246	19611	12951	11509	14204
YBR027C	II	294024	294356	-	333	37	23	17	26	40	38
YBR028C	II	294425	296002	-	1578	2994	1556	1066	3113	2820	3678
YBR029C	II	296369	297742	-	1374	4178	2610	2192	6506	7178	8511
YBR030W	II	298292	299950	+	1659	1854	880	898	2503	2414	3329
YBR031W	II	300166	301254	+	1089	15738	12149	16857	41570	40979	39311
YBR032W	II	301519	301821	+	303	2	7	2	6	4	8
YBR033W	II	301944	304703	+	2760	1522	1140	1042	1468	1368	1626
YBR034C	II	304930	305976	-	1047	9077	5274	4065	9833	11319	12632
YBR035C	II	306269	306955	-	687	4067	5109	4039	4741	6194	4820
YBR036C	II	309081	310313	-	1233	5121	5465	6864	8831	7708	8766
YBR037C	II	310565	311452	-	888	804	962	718	692	725	757
YBR038W	II	311898	314789	+	2892	770	958	1095	1236	1051	1400
YBR039W	II	315575	316510	+	936	22432	17144	10745	13177	17315	17623
YBR040W	II	316968	317864	+	897	154	183	24	49	54	49
YBR041W	II	318266	320275	+	2010	3165	2589	1861	2345	2115	2459
YBR042C	II	320416	321609	-	1194	880	852	580	680	731	839
YBR043C	II	321876	323945	-	2070	4539	3682	3251	3895	3155	3618
YBR044C	II	324341	326059	-	1719	2352	1809	1443	1497	1457	1891
YBR045C	II	328173	330092	-	1920	20919	10790	6203	5435	3994	3627
YBR046C	II	330507	331511	-	1005	2946	2861	2158	3577	3898	5117
YBR047W	II	331833	332360	+	528	1365	1284	642	1301	1529	1833
YBR048W	II	332831	333812	+	982	3132	2953	2880	7953	11533	8724
YBR049C	II	334386	336818	-	2433	8409	4721	4418	3832	3316	4208
YBR050C	II	337183	338199	-	1017	6650	3681	2601	6005	6550	6404
YBR051W	II	337988	338338	+	351	8	11	4	9	10	6
YBR052C	II	338720	339352	-	633	2062	2185	1577	2218	2997	2355
YBR053C	II	339675	340751	-	1077	2581	4110	4271	1686	1653	1695
YBR054W	II	343101	344135	+	1035	31715	54185	41963	9259	12016	14066
YBR055C	II	344602	347301	-	2700	3988	1852	1302	3417	3015	3961
YBR056W	II	347879	349384	+	1506	9883	8945	6493	3561	3481	4595
YBR056W-A	II	351255	351455	+	201	138	151	103	614	568	433
YBR056C-B	II	351293	351451	-	159	7	10	4	4	10	17
YBR057C	II	352193	353293	-	1101	10318	6386	2655	3955	4171	4607
YBR058C	II	353672	356017	-	2346	7877	5585	4993	5807	5393	6546
YBR058C-A	II	356324	356566	-	243	1324	1801	293	829	1053	838
YBR059C	II	356861	360187	-	3327	9575	6908	8208	5210	4502	5561
YBR060C	II	360652	362514	-	1863	2779	1696	1272	1989	1832	2359
YBR061C	II	364787	365719	-	933	2234	1127	775	3023	3343	3260
YBR062C	II	365976	366600	-	625	1475	1442	665	811	897	876
YBR063C	II	366970	368184	-	1215	9835	5437	2868	4604	4035	4467
YBR064W	II	367763	368191	+	429	6	12	7	2	2	4
YBR065C	II	368584	369678	-	1095	3786	2099	1984	3465	2907	3705
YBR066C	II	370037	370699	-	663	3543	1701	839	2201	1965	2766
YBR067C	II	372103	372735	-	633	80297	175294	200241	128243	154077	126467
YBR068C	II	373861	375690	-	1830	4458	4142	3929	19216	16925	18242
YBR069C	II	376574	378433	-	1860	8254	4995	2814	17846	19631	17188
YBR070C	II	379221	379934	-	714	829	1088	466	599	566	488
YBR071W	II	380411	381046	+	636	4695	4414	2925	1818	1910	1745
YBR072W	II	382030	382674	+	645	134080	233166	178503	23327	28023	23472
YBR072C-A	II	382860	383021	-	162	0	2	4	2	5	0
YBR073W	II	383112	385988	+	2877	2263	1490	1197	1159	986	1041
YBR074W	II	386286	389216	+	2931	6433	3321	3382	6886	6369	7579
YBR076W	II	390227	391291	+	1065	15339	9067	5324	3774	2861	2146
YBR076C-A	II	391351	391617	-	267	393	585	336	441	463	405
YBR077C	II	391805	392293	-	489	1450	1807	1325	1516	1473	1427
YBR078W	II	393123	394742	+	1620	20609	11074	12434	32809	30830	34287
YBR079C	II	395383	398277	-	2895	11209	3712	5045	15198	14748	17192
YBR080C	II	398614	400890	-	2277	6151	3348	3342	4491	3659	4833
YBR081C	II	401253	405251	-	3999	6490	3815	3140	3212	2916	3669
YBR082C	II	406628	407169	-	542	5252	3597	1283	6245	7172	6397
YBR083W	II	409169	410629	+	1461	1839	1317	1424	2845	2827	3171
YBR084W	II	411054	413981	+	2928	7412	1658	2175	12663	11115	13463
YBR084C-A	II	414186	415261	-	1076	18124	10829	7969	14630	19658	18525
YBR085W	II	415983	416906	+	924	73	55	36	65	83	99
YBR085C-A	II	418907	419164	-	258	10609	15825	6509	7920	9448	7638
YBR086C	II	420201	423041	-	2841	15570	12969	12836	8996	8529	12297
YBR087W	II	423765	424829	+	1065	2048	1798	944	1389	1519	1463
YBR088C	II	424990	425766	-	777	4244	4182	1677	2183	3031	2607
YBR089W	II	425183	425782	+	600	2	2	2	0	2	0
YBR089C-A	II	426190	426489	-	300	1969	2723	1623	1476	1525	1154
YBR090C	II	426333	427058	-	726	531	764	492	486	530	416
YBR091C	II	427155	427484	-	330	207	280	89	302	379	280
YBR092C	II	427698	429101	-	1404	2258	976	1024	4186	3913	3807
YBR093C	II	429548	430951	-	1404	1015	862	703	991	885	1132
YBR094W	II	432036	434297	+	2262	5608	4023	2982	2698	2116	3132
YBR095C	II	434406	435698	-	1293	3866	2118	1231	2123	2400	2500
YBR096W	II	436021	436713	+	693	931	1068	546	920	1101	945
YBR097W	II	436951	441315	+	4365	6026	4534	5418	2299	2068	2903
YBR098W	II	441515	443590	+	2076	2674	1952	1334	924	796	1027
YBR099C	II	442924	443307	-	384	254	259	174	225	156	232
YBR101C	II	443821	444693	-	873	3797	3800	2629	2811	2932	2957
YBR102C	II	445062	447323	-	2262	3402	2075	1980	2597	2197	2964
YBR103W	II	447709	449316	+	1608	2448	1289	1228	1768	1571	2018
YBR103C-A	II	449320	449463	-	144	0	3	4	4	3	4
YBR104W	II	449667	450656	+	990	983	516	460	1803	1806	1801
YBR105C	II	450881	451969	-	1089	14573	13020	13607	24328	20170	25616
YBR106W	II	452658	453224	+	567	9768	7473	4724	16529	17702	14631
YBR107C	II	453793	454530	-	738	1322	1085	927	851	758	895
YBR108W	II	454822	457665	+	2844	4206	3306	3976	2664	2354	2937
YBR109C	II	457919	458362	-	444	6675	8304	5285	4743	6061	5126
YBR109W-A	II	458608	458832	+	225	88	57	34	92	72	127
YBR110W	II	458872	460221	+	1350	1861	1878	1448	1712	1550	1937
YBR111C	II	461178	461873	-	696	4527	4729	2533	2268	2837	2928
YBR111W-A	II	462139	462579	+	441	724	754	262	614	766	662
YBR112C	II	462870	465770	-	2901	7759	4832	5364	4980	4320	5510
YBR113W	II	465566	466048	+	483	15	10	4	6	4	6
YBR114W	II	467248	469620	+	2373	5625	3673	3981	5830	4989	6536
YBR115C	II	469748	473926	-	4179	12778	6794	7986	14600	12358	14494
YBR116C	II	474199	474726	-	528	270	405	461	147	199	212
